mz,exp_int,the_int,annotation,HNas
152.99049377441406,0.1033,0.0,[],[]
164.66419982910156,9.4419,6.470623014243614,"[(7, 0)]","[[6, 0]]"
164.9936065673828,0.059,0.0,[],[]
164.99749755859375,1.1435,1.894619150307648,"[(7, 0)]","[[6, 0]]"
165.33070373535156,0.3849,0.24560519461577596,"[(7, 0)]","[[6, 0]]"
168.99749755859375,0.1013,0.0,[],[]
175.48880004882812,0.5181,0.0,[],[]
178.60499572753906,0.047,0.0,[],[]
181.97549438476562,0.7261,0.0,[],[]
182.3217010498047,0.1347,0.0,[],[]
185.1593017578125,0.1913,0.0,[],[]
191.31649780273438,0.2602,0.0,[],[]
191.64959716796875,0.0489,0.0,[],[]
191.98280334472656,0.0496,0.0,[],[]
191.993896484375,0.471,0.0,[],[]
192.4940948486328,0.0683,0.0,[],[]
194.98150634765625,0.0611,0.0,[],[]
195.99209594726562,0.0499,0.0,[],[]
198.19839477539062,0.0514,0.0,[],[]
198.64639282226562,0.0949,0.0,[],[]
198.98460388183594,0.0721,0.0,[],[]
202.19650268554688,0.2268,0.0,[],[]
203.01890563964844,0.0834,0.0,[],[]
204.64259338378906,0.2291,0.0,[],[]
204.97569274902344,1.3311,0.0,[],[]
206.2006072998047,0.1502,0.0,[],[]
207.5216064453125,0.0495,0.0,[],[]
207.79640197753906,0.2081,0.0,[],[]
208.02169799804688,0.1195,0.0,[],[]
208.47470092773438,0.097,0.0,[],[]
208.9738006591797,0.1861,0.0,[],[]
210.18780517578125,100.0,98.29978150551776,"[(28, 3)]","[[5, 0]]"
210.3883056640625,32.9934,31.795493903636608,"[(28, 3)]","[[5, 0]]"
210.5876007080078,34.836,33.84589014496129,"[(28, 3)]","[[5, 0]]"
210.78799438476562,7.9703,9.663586010759433,"[(28, 3)]","[[5, 0]]"
210.98739624023438,3.7769,5.234628717778795,"[(28, 3)]","[[5, 0]]"
213.78990173339844,0.3144,0.0,[],[]
213.99049377441406,2.0447,0.0,[],[]
214.189697265625,0.1383,0.0,[],[]
214.5876,35.3468,33.39623764783155,"[(28, 4)]","[[6, 1]]"
214.7863006591797,12.2171,10.802159010662944,"[(28, 4)]","[[6, 1]]"
214.98550415039062,11.1085,11.498757915551211,"[(28, 4)]","[[6, 1]]"
215.00270080566406,0.1325,0.0,[],[]
215.18600463867188,2.7788,3.2830939194658044,"[(28, 4)]","[[6, 1]]"
215.38540649414062,1.0314,1.778405831423863,"[(28, 4)]","[[6, 1]]"
218.18789672851562,0.0741,0.0,[],[]
218.38839721679688,0.6283,0.0,[],[]
