mz,exp_int,the_int,annotation,HNas
152.99049377441406,0.1033,0.000365499715723235,"[(9, 0)]","[[7, 0]]"
164.66419982910156,9.4419,8.210370643642946,"[(7, 0)]","[[6, 0]]"
164.9936065673828,0.059,0.0003030767263660459,"[(20, 0)]","[[7, 0]]"
164.99749755859375,1.1435,2.404022830309799,"[(7, 0)]","[[6, 0]]"
165.33070373535156,0.3849,0.3116407300132753,"[(7, 0)]","[[6, 0]]"
168.99749755859375,0.1013,0.008175329567324951,"[(29, 0)]","[[6, 0]]"
175.48880004882812,0.5181,0.004273978404147799,"[(28, 1)]","[[6, 0]]"
178.60499572753906,0.047,0.0027982171151319734,"[(23, 0)]","[[5, 0]]"
181.97549438476562,0.7261,0.010788544336184518,"[(13, 5)]","[[9, 2]]"
182.3217010498047,0.1347,0.00043951680693432165,"[(9, 2)]","[[7, 1]]"
185.1593017578125,0.1913,0.018972646150601832,"[(12, 1)]","[[6, 0]]"
191.31649780273438,0.2602,0.2218479507429377,"[(11, 3)]","[[6, 0]]"
191.64959716796875,0.0489,0.08883041829012477,"[(11, 3)]","[[6, 0]]"
191.98280334472656,0.0496,0.016192458439957595,"[(11, 3)]","[[6, 0]]"
191.993896484375,0.471,0.37446673570401356,"[(20, 1)]","[[6, 0]]"
192.4940948486328,0.0683,0.043574163012409566,"[(20, 1)]","[[6, 0]]"
194.98150634765625,0.0611,0.049623146421035914,"[(11, 4)]","[[7, 1]]"
195.99209594726562,0.0499,0.006022884484030296,"[(20, 2)]","[[7, 1]]"
198.19839477539062,0.0514,0.004327411119991646,"[(7, 1)]","[[5, 0]]"
198.64639282226562,0.0949,0.07580933100358586,"[(11, 5)]","[[8, 2]]"
198.98460388183594,0.0721,0.0004961710779494659,"[(14, 3)]","[[6, 0]]"
202.19650268554688,0.2268,0.1923464695644511,"[(7, 2)]","[[6, 1]]"
203.01890563964844,0.0834,0.07632301105264101,"[(22, 0)]","[[4, 0]]"
204.64259338378906,0.2291,0.6190813357647623,"[(13, 6)]","[[6, 0]]"
204.97569274902344,1.3311,0.28127269094132956,"[(13, 6)]","[[6, 0]]"
206.2006072998047,0.1502,0.12576574278517236,"[(10, 1)]","[[5, 0]]"
207.5216064453125,0.0495,0.06581465835935905,"[(2, 0)]","[[4, 0]]"
207.79640197753906,0.2081,0.0001930032353580621,"[(29, 2)]","[[6, 1]]"
208.02169799804688,0.1195,0.012209976636403613,"[(2, 0)]","[[4, 0]]"
208.47470092773438,0.097,0.013655121620340199,"[(13, 7)]","[[7, 1]]"
208.9738006591797,0.1861,0.003786744342102185,"[(13, 7)]","[[7, 1]]"
210.18780517578125,100.0,100.0699034323459,"[(28, 3)]","[[5, 0]]"
210.3883056640625,32.9934,32.368047576403406,"[(28, 3)]","[[5, 0]]"
210.5876007080078,34.836,34.45536609049276,"[(28, 3)]","[[5, 0]]"
210.78799438476562,7.9703,9.837601916262487,"[(28, 3)]","[[5, 0]]"
210.98739624023438,3.7769,5.328890687950361,"[(28, 3)]","[[5, 0]]"
213.78990173339844,0.3144,0.8397167183330196,"[(9, 3)]","[[5, 0]]"
213.99049377441406,2.0447,0.2721219462206296,"[(9, 3)]","[[5, 0]]"
214.189697265625,0.1383,0.29101763775339157,"[(9, 3)]","[[5, 0]]"
214.5876,35.3468,35.175010877977,"[(9, 3), (28, 4)]","[[5, 0], [6, 1]]"
214.7863006591797,12.2171,11.362839081237281,"[(28, 4)]","[[6, 1]]"
214.98550415039062,11.1085,12.095594565821257,"[(28, 4)]","[[6, 1]]"
215.00270080566406,0.1325,0.011101788180714599,"[(19, 1)]","[[5, 0]]"
215.18600463867188,2.7788,3.453501087944922,"[(28, 4)]","[[6, 1]]"
215.38540649414062,1.0314,1.8707129994713132,"[(28, 4)]","[[6, 1]]"
218.18789672851562,0.0741,0.27774603730497144,"[(9, 4)]","[[6, 1]]"
218.38839721679688,0.6283,0.09000748773531284,"[(9, 4)]","[[6, 1]]"
218.5876007080078,0.1696,0.09625745671982981,"[(9, 4)]","[[6, 1]]"
218.78810119628906,0.1318,0.027547865819684787,"[(9, 4)]","[[6, 1]]"
218.9856,10.1517,10.32477192134969,"[(9, 4), (28, 5)]","[[6, 1], [7, 2]]"
219.02479553222656,0.0625,4.7695547298012143e-05,"[(6, 0)]","[[4, 0]]"
219.18429565429688,3.6491,3.334739695484125,"[(28, 5)]","[[7, 2]]"
219.3834991455078,3.8025,3.549787077925786,"[(28, 5)]","[[7, 2]]"
219.58389282226562,0.9496,1.0135255004520867,"[(28, 5)]","[[7, 2]]"
219.78329467773438,0.3213,0.5490125182267281,"[(28, 5)]","[[7, 2]]"
222.19200134277344,0.2145,0.28629145014578516,"[(12, 3)]","[[5, 0]]"
222.39259338378906,0.4152,0.09914494675977817,"[(12, 3)]","[[5, 0]]"
222.58580017089844,0.2811,0.33256091408281074,"[(9, 5)]","[[7, 2]]"
222.78640747070312,0.0703,0.10777101515470384,"[(9, 5)]","[[7, 2]]"
222.985595703125,0.2929,0.11525445368959082,"[(9, 5)]","[[7, 2]]"
223.0081024169922,0.2686,0.25079423498101966,"[(23, 1)]","[[4, 0]]"
223.385498046875,0.0645,0.01796436459367905,"[(9, 5)]","[[7, 2]]"
223.5081024169922,0.0771,0.059408038982370674,"[(23, 1)]","[[4, 0]]"
226.58999633789062,0.2673,0.3678354219826643,"[(12, 4)]","[[6, 1]]"
226.98980712890625,0.5256,0.1309345603922531,"[(12, 4)]","[[6, 1]]"
227.19020080566406,0.0628,0.0395952982438581,"[(12, 4)]","[[6, 1]]"
227.51080322265625,0.1881,0.1649759514978434,"[(3, 1)]","[[4, 0]]"
228.50559997558594,0.0713,0.08939837524199402,"[(23, 2)]","[[5, 1]]"
229.0054931640625,0.1239,0.021176651695119397,"[(23, 2)]","[[5, 1]]"
230.98789978027344,0.0925,0.0755955821074557,"[(12, 5)]","[[7, 2]]"
233.00819396972656,0.0566,0.08052767098369998,"[(3, 2)]","[[5, 1]]"
233.25900268554688,0.1109,0.02464047323797971,"[(3, 2)]","[[5, 1]]"
238.01339721679688,0.1529,0.13234096342261512,"[(8, 1)]","[[4, 0]]"
238.97689819335938,0.4528,0.0571593549187677,"[(11, 8)]","[[7, 2]]"
239.00819396972656,0.6395,0.5612891573026578,"[(27, 2)]","[[5, 1]]"
239.99029541015625,0.1274,0.0016054131864426328,"[(20, 5)]","[[7, 2]]"
240.00830078125,0.6254,0.01468981239710711,"[(27, 2)]","[[5, 1]]"
242.99729919433594,4.1851,4.080199496124234,"[(24, 3)]","[[4, 0]]"
243.1757049560547,0.118,0.010905402985548972,"[(11, 9)]","[[8, 3]]"
243.2480926513672,1.1662,1.282875127097794,"[(24, 3)]","[[4, 0]]"
243.4971923828125,0.9907,1.1855229267380454,"[(24, 3)]","[[4, 0]]"
243.74769592285156,0.1908,0.32465481329960727,"[(24, 3)]","[[4, 0]]"
243.99710083007812,0.0558,0.1522352895607581,"[(24, 3)]","[[4, 0]]"
246.9792938232422,0.0939,0.07360484002763606,"[(14, 8)]","[[7, 2]]"
247.5,3.0708,2.736141131488198,"[(7, 3)]","[[4, 0]]"
247.75070190429688,0.286,0.8619557617383689,"[(7, 3)]","[[4, 0]]"
247.9998016357422,0.0565,0.8011508898371442,"[(7, 3)]","[[4, 0]]"
248.4947967529297,0.1202,0.42398441633706985,"[(24, 4)]","[[5, 1]]"
248.4998016357422,2.2077,0.10385560611646036,"[(7, 3)]","[[4, 0]]"
