0,1,2
400.00542,397.4,0.0038
400.11228,1515.9,0.0147
400.12286,482.2,0.0047
400.14232,338.3,0.0033
400.22311,258,0.0025
400.23724,1344.3,0.013
400.26456,421.6,0.0041
400.27936,262.3,0.0025
400.32897,109.1,0.0011
400.34948,237.7,0.0023
400.36239,833.7,0.0081
400.40809,365.8,0.0035
400.42256,107.2,0.001
400.44687,147.5,0.0014
400.47476,119,0.0012
400.48775,565.4,0.0055
400.5507,247.9,0.0024
400.57094,183,0.0018
400.6127,305.3,0.003
400.67872,113.5,0.0011
400.6955,125.4,0.0012
400.73802,169.9,0.0016
400.79052,110.2,0.0011
400.83836,120.5,0.0012
400.86379,106.1,0.001
400.89981,121,0.0012
400.99298,157.1,0.0015
401.02053,3261.8,0.0315
401.11608,120,0.0012
401.13128,128.5,0.0012
401.41272,114.7,0.0011
401.43741,153,0.0015
401.45323,107.9,0.001
401.50189,151.3,0.0015
401.54973,104.9,0.001
401.61477,196.9,0.0019
401.66012,144.3,0.0014
401.67663,192.4,0.0019
401.70709,113.3,0.0011
401.73858,6808.9,0.0659
401.77858,596.1,0.0058
401.86401,7745.2,0.0749
401.87745,214.1,0.0021
401.89072,849.5,0.0082
401.90637,125.1,0.0012
401.98857,9434,0.0912
401.99947,948.6,0.0092
402.02286,254.5,0.0025
402.10109,365.8,0.0035
402.11369,8365.6,0.0809
402.12661,254.6,0.0025
402.13971,1172.3,0.0113
402.1596,144.2,0.0014
402.22475,944.3,0.0091
402.23844,6199,0.06
402.26683,14436.8,0.1396
402.28118,1567.7,0.0152
402.30396,114.2,0.0011
402.33539,493.2,0.0048
402.35015,455.1,0.0044
402.36305,3723.2,0.036
402.41017,11895.8,0.1151
402.42442,1102.4,0.0107
402.44662,441.2,0.0043
402.47456,314.2,0.003
402.48746,2535.3,0.0245
402.53118,194.1,0.0019
402.55257,15952.6,0.1543
402.56667,948.1,0.0092
402.61236,1201.8,0.0116
402.65567,158.1,0.0015
402.66885,139.8,0.0014
