0,1,2
400.01599,6132.8,0.0072
400.099,1883.1,0.0022
400.11323,85072.1,0.0994
400.14332,4705.2,0.0055
400.15675,6276.7,0.0073
400.17082,5126,0.006
400.2104,2310.3,0.0027
400.22489,2944.5,0.0034
400.23861,67605.2,0.079
400.26654,21228.7,0.0248
400.28905,4169.8,0.0049
400.30223,3340.7,0.0039
400.31435,5644.1,0.0066
400.34639,3486.6,0.0041
400.36351,37506.6,0.0438
400.38393,1271,0.0015
400.40959,13199.4,0.0154
400.43273,3404.3,0.004
400.44509,4268.8,0.005
400.45673,11142.7,0.013
400.48865,23633.2,0.0276
400.50604,2349.8,0.0027
400.51958,2577.4,0.003
400.55218,8870.8,0.0104
400.56914,2448.2,0.0029
400.60072,4478.7,0.0052
400.61352,9072.8,0.0106
400.6547,2795.3,0.0033
400.66647,1202.1,0.0014
400.68091,1198.2,0.0014
400.69412,4323.4,0.0051
400.70829,1171,0.0014
400.72147,1996.3,0.0023
400.74032,8598.8,0.01
400.75523,1103.4,0.0013
400.77899,1875.2,0.0022
400.78851,1318.4,0.0015
400.83688,2088.8,0.0024
400.84856,1768,0.0021
400.86403,4055.4,0.0047
400.86904,4269.1,0.005
400.88604,3273.4,0.0038
400.99231,4581.7,0.0054
401.00107,4042.8,0.0047
401.02304,5132.1,0.006
401.12584,2963.4,0.0035
401.15126,3406.7,0.004
401.16716,3177.3,0.0037
401.19233,911.1,0.0011
401.20806,1001.6,0.0012
401.23646,2537.4,0.003
401.29175,923.9,0.0011
401.31051,2133.9,0.0025
401.32465,1029.7,0.0012
401.34993,1135.5,0.0013
401.36596,1682.6,0.002
401.37686,1423.6,0.0017
401.40508,1337,0.0016
401.4376,1697.1,0.002
401.45913,1626.2,0.0019
401.48825,2291.4,0.0027
401.52723,859.9,0.001
401.53887,10063,0.0118
401.55063,1802.7,0.0021
401.56448,1279.5,0.0015
401.59409,1239,0.0014
401.61448,3266.3,0.0038
401.6301,1031.7,0.0012
401.65009,12412,0.0145
401.66062,2266.5,0.0026
401.70993,16971.8,0.0198
401.72487,878.4,0.001
401.73953,415216.6,0.485
401.76124,10777.3,0.0126
401.77952,4814.4,0.0056
401.80671,1050,0.0012
401.86468,418314.6,0.4887
401.89128,7040.3,0.0082
401.97689,12846.9,0.015
401.98929,570975.4,0.667
402.02508,1190.6,0.0014
402.10203,14225.6,0.0166
402.11458,436583.8,0.51
402.13973,27165.8,0.0317
402.153,2181.3,0.0025
402.16266,2820.1,0.0033
402.17185,1585,0.0019
402.2064,3994.3,0.0047
402.22628,22881.2,0.0267
402.2392,343907.4,0.4017
402.26814,38406.1,0.0449
402.28267,28475.5,0.0333
402.30272,2989.9,0.0035
402.31785,4100.6,0.0048
402.33611,6578.6,0.0077
402.35169,16083.6,0.0188
402.36407,214919.2,0.2511
402.38871,5064,0.0059
402.41139,32505.4,0.038
402.42619,19603.6,0.0229
402.44762,7153.1,0.0084
402.47624,13668.1,0.016
402.48862,131233.3,0.1533
402.51211,3323.5,0.0039
402.52953,2273.1,0.0027
402.55416,50660,0.0592
402.56856,12229.8,0.0143
402.58991,2378.8,0.0028
402.60089,10429.4,0.0122
402.61365,64560.8,0.0754
402.64181,4636,0.0054
402.65531,6067.1,0.0071
402.67078,1780.6,0.0021
402.68282,866.1,0.001
402.69701,29179.7,0.0341
402.71127,7027,0.0082
402.72389,8205.5,0.0096
402.74113,50104.4,0.0585
402.76896,4179,0.0049
402.78314,2663.1,0.0031
402.82277,1646.2,0.0019
402.83944,21150,0.0247
402.85213,6860,0.008
402.86338,24631.4,0.0288
402.87449,8842.8,0.0103
402.88649,32299.4,0.0377
402.98385,12781,0.0149
403.00152,8886.4,0.0104
403.0171,9110.1,0.0106
403.02918,30563.3,0.0357
403.04204,5496,0.0064
403.10113,2241.3,0.0026
403.12298,26549.4,0.031
403.14642,2922.3,0.0034
403.15072,2940.4,0.0034
403.16612,121424.9,0.1418
403.18641,1288.6,0.0015
403.19095,1432.8,0.0017
403.21025,6920.5,0.0081
403.2381,3794.9,0.0044
403.25127,3870.9,0.0045
403.26671,4144.6,0.0048
403.30352,5474.2,0.0064
403.3152,14075.1,0.0164
403.33322,1274,0.0015
403.36164,3000.5,0.0035
403.37652,5502,0.0064
403.40744,2623.6,0.0031
403.41475,2120,0.0025
403.42577,1544,0.0018
403.43274,1548,0.0018
403.44669,4576.5,0.0053
403.45771,6192.6,0.0072
403.48908,2710.5,0.0032
403.50211,3029.3,0.0035
403.52534,1644.4,0.0019
403.54119,4923.5,0.0058
403.58911,2313.3,0.0027
403.6005,3516.8,0.0041
403.61239,4014.4,0.0047
403.62692,1770.5,0.0021
403.65128,4397.9,0.0051
403.66518,1114.8,0.0013
403.69282,1890.1,0.0022
403.71034,1646.9,0.0019
403.71949,1330.4,0.0016
403.7361,7617,0.0089
403.76232,5816.5,0.0068
403.78075,1252.1,0.0015
403.84755,2889.1,0.0034
403.86242,6941.1,0.0081
403.87433,6166.6,0.0072
403.88687,1888.6,0.0022
403.9886,11062.7,0.0129
404.00404,2771.2,0.0032
404.01527,3795.8,0.0044
404.02954,1185,0.0014
404.04403,1252.7,0.0015
404.09516,2136.7,0.0025
404.11516,9141.4,0.0107
404.14034,1026.6,0.0012
404.16929,16334.1,0.0191
404.18263,2171.6,0.0025
404.19613,1637.2,0.0019
404.21674,4497.5,0.0053
404.23255,14310.3,0.0167
404.2624,3128.6,0.0037
404.28167,1465.7,0.0017
404.29689,1282.8,0.0015
404.32702,4357.8,0.0051
404.35731,15304.1,0.0179
404.38795,2516.9,0.0029
404.42694,2400.7,0.0028
404.43907,4905,0.0057
404.48531,28751.3,0.0336
404.49864,4763.3,0.0056
404.5127,3148.2,0.0037
404.53158,1019.6,0.0012
404.55013,3368.5,0.0039
404.56807,3566.4,0.0042
404.5838,887.6,0.001
404.61128,23216.6,0.0271
404.62324,4173.1,0.0049
404.64339,2141.6,0.0025
404.66088,5889.8,0.0069
404.67872,1369.8,0.0016
404.69892,1328.1,0.0016
404.71247,1928.1,0.0023
404.73877,56016.6,0.0654
404.77206,6423.6,0.0075
404.86446,52409.2,0.0612
404.88393,7785.2,0.0091
404.89373,3265.7,0.0038
404.90299,1072,0.0013
404.98978,64270,0.0751
405.0091,6591.2,0.0077
405.03055,2234.8,0.0026
405.1158,48176.6,0.0563
405.13151,2342.6,0.0027
405.14458,3335.5,0.0039
405.17068,2370.7,0.0028
405.20331,3598.9,0.0042
405.21937,2705.9,0.0032
405.24008,41018.9,0.0479
405.25792,2411.9,0.0028
405.28183,2035.7,0.0024
405.29424,4036.4,0.0047
405.31044,2771.4,0.0032
405.32269,3071.9,0.0036
405.34363,2680.2,0.0031
405.36561,28406.3,0.0332
405.39692,1754.2,0.002
405.40677,2534.5,0.003
405.42488,3596.9,0.0042
405.43945,3451.1,0.004
405.45549,2914.4,0.0034
405.49041,21478.5,0.0251
405.50907,1818.1,0.0021
405.51916,1169.1,0.0014
405.5335,1251,0.0015
405.54889,2381.8,0.0028
405.56982,3227.5,0.0038
405.57923,3385.3,0.004
405.59148,20814.8,0.0243
405.61533,9334.4,0.0109
405.64297,1119.8,0.0013
405.65624,3502.7,0.0041
405.6785,1721.2,0.002
405.68795,1654.2,0.0019
405.70168,1777.5,0.0021
405.71141,2524.8,0.0029
405.73477,24059.9,0.0281
405.75354,1194.8,0.0014
405.79056,1157.3,0.0014
405.8116,1208.2,0.0014
405.82363,1484.8,0.0017
405.8344,1134.2,0.0013
405.86356,6930.8,0.0081
405.87742,24726.2,0.0289
405.90467,1412,0.0016
405.97758,3302.6,0.0039
405.99982,7614.1,0.0089
406.01997,16138.4,0.0189
406.08649,1368.4,0.0016
406.10575,3173.2,0.0037
406.12016,1762.6,0.0021
406.14535,5112.2,0.006
406.16344,11795.2,0.0138
406.21424,4553.9,0.0053
406.22945,3159.2,0.0037
406.25006,1349.3,0.0016
406.26463,996.9,0.0012
406.28343,2762.9,0.0032
406.3066,6656.5,0.0078
406.32747,4728.3,0.0055
406.35383,4074.4,0.0048
406.36435,1724.8,0.002
406.40373,1138.7,0.0013
406.43725,8306.1,0.0097
406.48259,18626.1,0.0218
406.50167,1683.7,0.002
406.51239,1184.5,0.0014
406.53537,3924.7,0.0046
406.54919,5141.1,0.006
406.56972,2059.4,0.0024
406.58917,2234.7,0.0026
406.60762,18319.8,0.0214
406.63017,1197,0.0014
406.65866,7566.7,0.0088
406.67964,1379.9,0.0016
406.69954,1554.9,0.0018
406.71899,2456.6,0.0029
406.73266,24303.2,0.0284
406.76008,2574.2,0.003
406.77061,3522,0.0041
406.80917,1192.1,0.0014
406.85751,15884.2,0.0186
406.87992,6443.2,0.0075
406.89188,1737.2,0.002
406.90903,2008.6,0.0023
406.97003,1479.8,0.0017
406.99131,398408.7,0.4654
407.01291,4246.4,0.005
407.03111,1620.7,0.0019
407.04737,3106,0.0036
407.06836,1191.4,0.0014
407.09513,1755.8,0.0021
407.11667,406830.2,0.4752
407.13187,4563,0.0053
407.16807,1514.9,0.0018
407.18317,4360.3,0.0051
407.1959,999.4,0.0012
407.21067,1865.3,0.0022
407.2196,1474.8,0.0017
407.24129,550413.4,0.643
407.26048,4217.7,0.0049
407.27286,3129.9,0.0037
407.31038,1722.2,0.002
407.33068,1686.7,0.002
407.34086,3123.1,0.0036
407.36644,429253.2,0.5014
407.38569,5398.1,0.0063
407.41578,4623.6,0.0054
407.43246,968.4,0.0011
407.44803,2490.2,0.0029
407.47021,2002.4,0.0023
407.49135,345395.2,0.4035
407.51208,5140.4,0.006
407.5328,1276.2,0.0015
407.55995,6307.6,0.0074
407.59512,1262,0.0015
407.61646,205635.3,0.2402
407.63425,2768.9,0.0032
407.64475,1785.1,0.0021
407.65667,1811.1,0.0021
407.6727,1694.3,0.002
407.68633,2491.8,0.0029
407.7023,2260.3,0.0026
407.74134,126268.7,0.1475
407.76097,1619.5,0.0019
407.76826,1254.9,0.0015
407.78337,2610,0.003
407.82997,6173.4,0.0072
407.84608,2900.8,0.0034
407.86629,61568.1,0.0719
407.87825,1715.7,0.002
407.895,1921.6,0.0022
407.99058,23580,0.0275
407.99927,19323.2,0.0226
408.01333,2818.9,0.0033
408.02971,3748.3,0.0044
408.11559,13689.4,0.016
408.13088,1729,0.002
408.14275,26709.2,0.0312
408.16363,25280.1,0.0295
408.20798,5264,0.0061
408.2309,6210.1,0.0073
408.2411,4301.6,0.005
408.25447,1687.9,0.002
408.26974,2788.5,0.0033
408.2852,32907.9,0.0384
408.30698,23822.8,0.0278
408.31988,6848,0.008
408.35517,3083.7,0.0036
408.36516,2003.7,0.0023
408.37842,1828.3,0.0021
408.40326,958.9,0.0011
408.42944,28779.6,0.0336
408.44986,26675.2,0.0312
408.48126,4511.8,0.0053
408.5004,1982,0.0023
408.54195,7393.1,0.0086
408.57102,12344.9,0.0144
408.57998,10798.4,0.0126
408.593,16740.2,0.0196
408.60635,4537.3,0.0053
408.63063,1733.2,0.002
408.65232,6288,0.0073
408.6718,1232.6,0.0014
408.68848,927,0.0011
408.71399,8411.2,0.0098
408.72402,11500.4,0.0134
408.73487,12553.4,0.0147
408.76283,4113.9,0.0048
408.77399,1181.3,0.0014
408.78171,955.9,0.0011
408.81246,1009.6,0.0012
408.83157,2021.3,0.0024
408.85519,7887.2,0.0092
408.86599,10389.6,0.0121
408.87762,9927.8,0.0116
408.9901,7816.7,0.0091
409.008,9458.7,0.011
409.01889,4916.1,0.0057
409.03105,4996,0.0058
409.04522,1780.6,0.0021
409.10368,2298.1,0.0027
409.11573,8293.7,0.0097
409.13225,2963.8,0.0035
409.15019,4016.9,0.0047
409.17417,2868.7,0.0034
409.19935,17247.1,0.0201
409.21475,3050.6,0.0036
409.22944,4432.1,0.0052
409.24156,27816,0.0325
409.25528,1270.1,0.0015
409.27546,1412.2,0.0016
409.29294,2745,0.0032
409.30817,1979.4,0.0023
409.31932,2387.8,0.0028
409.3422,3919.8,0.0046
409.36676,40568.1,0.0474
409.3805,1427.4,0.0017
409.39544,1274.5,0.0015
409.41809,2188.9,0.0026
409.43282,2528.3,0.003
409.44959,2903.7,0.0034
409.46054,964.1,0.0011
409.48299,318369.5,0.3719
409.51355,5204.5,0.0061
409.53294,14627.5,0.0171
409.56219,3095.5,0.0036
409.57649,1207.4,0.0014
409.59371,918.6,0.0011
409.60838,319090.6,0.3727
409.63689,2108.6,0.0025
409.66401,4100.6,0.0048
409.68192,4574.1,0.0053
409.70086,6994.7,0.0082
409.71722,1075.4,0.0013
409.73296,453250.3,0.5295
409.75705,1250.3,0.0015
409.76003,1257.9,0.0015
409.78268,1300.4,0.0015
409.82507,897.7,0.001
409.85811,329833,0.3853
409.8801,2276.1,0.0027
409.89728,3482.6,0.0041
409.98286,288719.4,0.3373
410.01678,6059.8,0.0071
410.04007,5966.7,0.007
410.06591,1003.9,0.0012
410.10788,171450.9,0.2003
410.12798,1466.7,0.0017
410.14728,3672.7,0.0043
410.17198,3390.9,0.004
